scenario,eml_params,mlp_params,depth,hidden,epochs,eml_final_val_loss,mlp_final_val_loss,eml_final_val_acc,mlp_final_val_acc,val_loss_gap_mlp_minus_eml
checkerboard,207201,103681,5,160,600,0.4958437383174896,0.4013696610927582,0.8199999928474426,0.824999988079071,-0.09447407722473145
checkerboard,38697,19377,7,56,600,0.6928242444992065,0.5357506275177002,0.512499988079071,0.7524999976158142,-0.15707361698150635
checkerboard,112417,56257,7,96,600,0.6928211450576782,0.5127313137054443,0.512499988079071,0.7475000023841858,-0.1800898313522339
checkerboard,310241,155201,7,160,600,16.04631805419922,0.5758695006370544,0.48750001192092896,0.6675000190734863,-15.470448553562164
circles,13161,6609,3,56,600,1.356070924884989e-06,0.08770429342985153,1.0,1.0,0.08770293735892665
circles,37921,19009,3,96,600,1.784165647222835e-06,0.017063915729522705,1.0,1.0,0.017062131563875482
circles,104161,52161,3,160,600,0.043345365673303604,0.00449012964963913,0.9958333373069763,1.0,-0.038855236023664474
circles,25929,12993,5,56,600,0.012509175576269627,0.0038850170094519854,0.9916666746139526,1.0,-0.008624158566817641
circles,75169,37633,5,96,600,0.026544837281107903,0.0006806712481193244,0.9958333373069763,1.0,-0.025864166032988578
circles,207201,103681,5,160,600,9.167858123779297,0.00013232912169769406,0.5,1.0,-9.1677257946576
circles,38697,19377,7,56,600,0.007100326009094715,0.6931472420692444,0.9958333373069763,0.5,0.6860469160601497
circles,112417,56257,7,96,600,0.004242345225065947,0.6931472420692444,1.0,0.5,0.6889048968441784
circles,310241,155201,7,160,600,17.388811111450195,0.6931472420692444,0.5291666388511658,0.5041666626930237,-16.69566386938095
circles_tight,13161,6609,3,56,600,2.013652103134006e-14,0.08301545679569244,1.0,1.0,0.08301545679567231
circles_tight,37921,19009,3,96,600,0.0,0.00867221225053072,1.0,1.0,0.00867221225053072
circles_tight,104161,52161,3,160,600,1.0207017502474624e-17,0.002403272781521082,1.0,1.0,0.0024032727815210715
circles_tight,25929,12993,5,56,600,9.390780064677529e-08,0.004870960023254156,1.0,1.0,0.004870866115453509
circles_tight,75169,37633,5,96,600,5.5968225609603905e-09,0.0003179922350682318,1.0,1.0,0.00031798663824567086
circles_tight,207201,103681,5,160,600,20.668397903442383,8.458194497507066e-05,0.5,1.0,-20.668313321497408
circles_tight,38697,19377,7,56,600,4.400474426802248e-05,0.6931471824645996,1.0,0.5,0.6931031777203316
circles_tight,112417,56257,7,96,600,8.365342140197754,0.6931471228599548,0.5928571224212646,0.5,-7.672195017337799
circles_tight,310241,155201,7,160,600,7.716188907623291,0.6931471228599548,0.4749999940395355,0.5,-7.023041784763336
far_blobs,13161,6609,3,56,600,3.7867008018110937e-07,0.006279542110860348,1.0,1.0,0.006279163440780167
far_blobs,37921,19009,3,96,600,9.92397777046768e-16,0.0021264126989990473,1.0,1.0,0.002126412698998055
far_blobs,104161,52161,3,160,600,1.0621344159744694e-07,0.0008370798896066844,1.0,1.0,0.000836973676165087
far_blobs,25929,12993,5,56,600,2.3243948817253113e-05,0.00042904759175144136,1.0,1.0,0.00040580364293418825
far_blobs,75169,37633,5,96,600,3.4059797204832876e-09,8.202424214687198e-05,1.0,1.0,8.20208361671515e-05
far_blobs,207201,103681,5,160,600,6.250091552734375,4.565469680528622e-06,0.8035714030265808,1.0,-6.2500869872646945
far_blobs,38697,19377,7,56,600,10.497753143310547,0.6931471228599548,0.7214285731315613,0.5,-9.804606020450592
far_blobs,112417,56257,7,96,600,4.204200028534363e-35,1.530404006189201e-05,1.0,1.0,1.530404006189201e-05
far_blobs,310241,155201,7,160,600,7.069277763366699,2.0667941669216816e-07,0.5,1.0,-7.0692775566872825
gaussian_quantiles,13161,6609,3,56,600,0.06629790365695953,0.17391817271709442,0.9781249761581421,0.9750000238418579,0.10762026906013489
gaussian_quantiles,37921,19009,3,96,600,0.08531560003757477,0.05913601070642471,0.9781249761581421,0.987500011920929,-0.026179589331150055
gaussian_quantiles,104161,52161,3,160,600,0.14687363803386688,0.03331863880157471,0.9468749761581421,0.996874988079071,-0.11355499923229218
gaussian_quantiles,25929,12993,5,56,600,1.4559391736984253,0.021475648507475853,0.9375,1.0,-1.4344635251909494
gaussian_quantiles,75169,37633,5,96,600,0.059212446212768555,0.006437768694013357,0.9750000238418579,1.0,-0.0527746775187552
gaussian_quantiles,207201,103681,5,160,600,33.220542907714844,0.003270396962761879,0.699999988079071,1.0,-33.21727251075208
gaussian_quantiles,38697,19377,7,56,600,0.12291119992733002,0.6931471824645996,0.9624999761581421,0.5,0.5702359825372696
gaussian_quantiles,112417,56257,7,96,600,4.77396297454834,0.6931472420692444,0.581250011920929,0.5,-4.0808157324790955
gaussian_quantiles,310241,155201,7,160,600,1.3992955684661865,0.6931472420692444,0.5,0.5,-0.7061483263969421
linear_borderline,13161,6609,3,56,600,0.41165462136268616,0.2829539477825165,0.824999988079071,0.8687499761581421,-0.12870067358016968
linear_borderline,37921,19009,3,96,600,0.3169749677181244,0.27562206983566284,0.859375,0.859375,-0.04135289788246155
linear_borderline,104161,52161,3,160,600,0.4220965802669525,0.27121099829673767,0.84375,0.862500011920929,-0.15088558197021484
linear_borderline,25929,12993,5,56,600,0.28649741411209106,0.27720290422439575,0.859375,0.862500011920929,-0.009294509887695312
linear_borderline,75169,37633,5,96,600,4.9483184814453125,0.26806601881980896,0.559374988079071,0.8687499761581421,-4.6802524626255035
linear_borderline,207201,103681,5,160,600,0.31053972244262695,0.27390944957733154,0.859375,0.8656250238418579,-0.03663027286529541
linear_borderline,38697,19377,7,56,600,0.6480364203453064,0.33426541090011597,0.518750011920929,0.856249988079071,-0.31377100944519043
linear_borderline,112417,56257,7,96,600,0.6758439540863037,0.2840495705604553,0.7281249761581421,0.859375,-0.3917943835258484
linear_borderline,310241,155201,7,160,600,24.715200424194336,0.27260488271713257,0.5,0.859375,-24.442595541477203
messy_blobs,13161,6609,3,56,600,0.5592804551124573,0.4753051698207855,0.7749999761581421,0.7892857193946838,-0.08397528529167175
messy_blobs,37921,19009,3,96,600,0.5678785443305969,0.46610161662101746,0.7928571701049805,0.800000011920929,-0.10177692770957947
messy_blobs,104161,52161,3,160,600,0.6113438010215759,0.45852214097976685,0.7821428775787354,0.8035714030265808,-0.15282166004180908
messy_blobs,25929,12993,5,56,600,0.5963538885116577,0.47547537088394165,0.8035714030265808,0.7928571701049805,-0.12087851762771606
messy_blobs,75169,37633,5,96,600,0.4581034481525421,0.4695805609226227,0.8178571462631226,0.7964285612106323,0.011477112770080566
messy_blobs,207201,103681,5,160,600,28.79188346862793,0.4572361409664154,0.5,0.8071428537368774,-28.334647327661514
messy_blobs,38697,19377,7,56,600,0.6931142807006836,0.6931487917900085,0.5,0.5,3.451108932495117e-05
messy_blobs,112417,56257,7,96,600,24.133996963500977,0.6931487917900085,0.4928571283817291,0.5,-23.440848171710968
messy_blobs,310241,155201,7,160,600,19.131149291992188,0.47175636887550354,0.5,0.7892857193946838,-18.659392923116684
moons_clean,13161,6609,3,56,600,0.0005194252589717507,0.22621794044971466,1.0,0.8949999809265137,0.2256985151907429
moons_clean,37921,19009,3,96,600,0.029856253415346146,0.230787456035614,0.9950000047683716,0.8949999809265137,0.20093120262026787
moons_clean,104161,52161,3,160,600,9.462206799071282e-05,0.04571961984038353,1.0,0.9950000047683716,0.04562499777239282
moons_clean,25929,12993,5,56,600,2.2434067726135254,0.2102271318435669,0.8299999833106995,0.8999999761581421,-2.0331796407699585
moons_clean,75169,37633,5,96,600,0.08965624868869781,0.18636974692344666,0.9700000286102295,0.9049999713897705,0.09671349823474884
moons_clean,207201,103681,5,160,600,8.198698997497559,0.003020069794729352,0.8349999785423279,1.0,-8.19567892770283
moons_clean,38697,19377,7,56,600,8.988232612609863,0.6931471824645996,0.6299999952316284,0.5,-8.295085430145264
moons_clean,112417,56257,7,96,600,13.912598609924316,0.6931471824645996,0.5,0.5,-13.219451427459717
moons_clean,310241,155201,7,160,600,49.091487884521484,0.15614718198776245,0.5,0.9300000071525574,-48.93534070253372
moons_extra_noise,13161,6609,3,56,600,0.3636908531188965,0.40313175320625305,0.8500000238418579,0.824999988079071,0.03944090008735657
moons_extra_noise,37921,19009,3,96,600,0.4081392288208008,0.3998538553714752,0.8428571224212646,0.8357142806053162,-0.008285373449325562
moons_extra_noise,104161,52161,3,160,600,0.4027433395385742,0.35921403765678406,0.8535714149475098,0.8678571581840515,-0.04352930188179016
moons_extra_noise,25929,12993,5,56,600,0.3729866147041321,0.40739306807518005,0.8500000238418579,0.824999988079071,0.034406453371047974
moons_extra_noise,75169,37633,5,96,600,0.573591411113739,0.3359545171260834,0.7714285850524902,0.8678571581840515,-0.23763689398765564
moons_extra_noise,207201,103681,5,160,600,0.34905657172203064,0.33504658937454224,0.8535714149475098,0.8642857074737549,-0.014009982347488403
moons_extra_noise,38697,19377,7,56,600,0.6930956840515137,0.6931472420692444,0.5,0.5,5.155801773071289e-05
moons_extra_noise,112417,56257,7,96,600,23.593286514282227,0.6931471228599548,0.6535714268684387,0.5,-22.90013939142227
moons_extra_noise,310241,155201,7,160,600,19.91582489013672,0.6545975804328918,0.5,0.8285714387893677,-19.261227309703827
moons_hard,13161,6609,3,56,600,0.20410384237766266,0.30571696162223816,0.9333333373069763,0.8666666746139526,0.1016131192445755
moons_hard,37921,19009,3,96,600,0.25605976581573486,0.2949872314929962,0.9375,0.8708333373069763,0.03892746567726135
moons_hard,104161,52161,3,160,600,0.27598366141319275,0.1807929426431656,0.9375,0.9208333492279053,-0.09519071877002716
moons_hard,25929,12993,5,56,600,0.16298678517341614,0.3067460060119629,0.9416666626930237,0.862500011920929,0.14375922083854675
moons_hard,75169,37633,5,96,600,0.19447755813598633,0.28924378752708435,0.949999988079071,0.887499988079071,0.09476622939109802
moons_hard,207201,103681,5,160,600,41.66706085205078,0.14536000788211823,0.5,0.9416666626930237,-41.52170084416866
moons_hard,38697,19377,7,56,600,0.24815216660499573,0.6931472420692444,0.8833333253860474,0.5,0.44499507546424866
moons_hard,112417,56257,7,96,600,28.6807804107666,0.6931472420692444,0.38333332538604736,0.5,-27.987633168697357
moons_hard,310241,155201,7,160,600,14.908588409423828,0.2764323949813843,0.5,0.875,-14.632156014442444
radial_waves,13161,6609,3,56,600,0.6717638969421387,0.6891862750053406,0.5799999833106995,0.5525000095367432,0.017422378063201904
radial_waves,37921,19009,3,96,600,0.683094322681427,0.6905420422554016,0.6625000238418579,0.5375000238418579,0.007447719573974609
radial_waves,104161,52161,3,160,600,0.9395784735679626,0.6837409734725952,0.75,0.5550000071525574,-0.25583750009536743
radial_waves,25929,12993,5,56,600,0.6801702976226807,0.676505446434021,0.5724999904632568,0.5649999976158142,-0.003664851188659668
radial_waves,75169,37633,5,96,600,42.87302780151367,0.41270050406455994,0.5799999833106995,0.7850000262260437,-42.46032729744911
radial_waves,207201,103681,5,160,600,0.6839890480041504,0.2240220606327057,0.5674999952316284,0.9125000238418579,-0.4599669873714447
radial_waves,38697,19377,7,56,600,0.6840097308158875,0.6167259216308594,0.5674999952316284,0.6000000238418579,-0.06728380918502808
radial_waves,112417,56257,7,96,600,0.6844006180763245,0.42123740911483765,0.5674999952316284,0.7950000166893005,-0.2631632089614868
radial_waves,310241,155201,7,160,600,9.98140811920166,0.3398512005805969,0.4325000047683716,0.7925000190734863,-9.641556918621063
sign_product,13161,6609,3,56,600,0.011974846944212914,0.06832616031169891,0.9950000047683716,0.9975000023841858,0.056351313367486
sign_product,37921,19009,3,96,600,0.0063291918486356735,0.03492046892642975,0.9950000047683716,0.9950000047683716,0.028591277077794075
sign_product,104161,52161,3,160,600,0.0021140938624739647,0.020151248201727867,1.0,0.9975000023841858,0.018037154339253902
sign_product,25929,12993,5,56,600,0.586052656173706,0.019307276234030724,0.6800000071525574,0.9975000023841858,-0.5667453799396753
sign_product,75169,37633,5,96,600,0.008708516135811806,0.0056459857150912285,0.9975000023841858,0.9975000023841858,-0.0030625304207205772
sign_product,207201,103681,5,160,600,54.031951904296875,0.003910827450454235,0.48500001430511475,0.9975000023841858,-54.02804107684642
sign_product,38697,19377,7,56,600,12.670859336853027,0.01921781711280346,0.675000011920929,0.9975000023841858,-12.651641519740224
sign_product,112417,56257,7,96,600,1.7317070960998535,0.002833724720403552,0.8025000095367432,0.9975000023841858,-1.72887337137945
sign_product,310241,155201,7,160,600,6.980686187744141,0.009353133849799633,0.5149999856948853,0.9975000023841858,-6.971333053894341
sine_boundary,13161,6609,3,56,600,0.27196061611175537,0.48778876662254333,0.8725000023841858,0.737500011920929,0.21582815051078796
sine_boundary,37921,19009,3,96,600,0.3778422474861145,0.4882529377937317,0.8475000262260437,0.7400000095367432,0.11041069030761719
sine_boundary,104161,52161,3,160,600,0.1987220048904419,0.47679877281188965,0.9075000286102295,0.75,0.27807676792144775
sine_boundary,25929,12993,5,56,600,0.41476279497146606,0.48318129777908325,0.8050000071525574,0.7350000143051147,0.06841850280761719
sine_boundary,75169,37633,5,96,600,0.23431561887264252,0.47484099864959717,0.8999999761581421,0.7400000095367432,0.24052537977695465
sine_boundary,207201,103681,5,160,600,15.557685852050781,0.4642413854598999,0.5099999904632568,0.7325000166893005,-15.093444466590881
sine_boundary,38697,19377,7,56,600,0.6927592754364014,0.47924160957336426,0.5099999904632568,0.7475000023841858,-0.2135176658630371
sine_boundary,112417,56257,7,96,600,3.0033440589904785,0.47276023030281067,0.5625,0.7475000023841858,-2.530583828687668
sine_boundary,310241,155201,7,160,600,5.707425594329834,0.46761417388916016,0.49000000953674316,0.7524999976158142,-5.239811420440674
spiral,13161,6609,3,56,600,0.6978205442428589,0.7042983174324036,0.43437498807907104,0.40625,0.006477773189544678
spiral,37921,19009,3,96,600,0.702850878238678,0.7170617580413818,0.40625,0.375,0.014210879802703857
spiral,104161,52161,3,160,600,0.7062568664550781,0.7250691652297974,0.4124999940395355,0.35624998807907104,0.01881229877471924
spiral,25929,12993,5,56,600,0.6931251287460327,0.7074519395828247,0.515625,0.4000000059604645,0.014326810836791992
spiral,75169,37633,5,96,600,0.6932402849197388,0.7295154333114624,0.512499988079071,0.34687501192092896,0.03627514839172363
spiral,207201,103681,5,160,600,1.9271711111068726,0.7673624753952026,0.48750001192092896,0.328125,-1.15980863571167
spiral,38697,19377,7,56,600,0.6931540369987488,0.6931472420692444,0.5,0.5,-6.794929504394531e-06
spiral,112417,56257,7,96,600,0.6931508779525757,0.6931472420692444,0.47187501192092896,0.5,-3.635883331298828e-06
spiral,310241,155201,7,160,600,1.142319679260254,0.6931472420692444,0.5,0.5,-0.4491724371910095
stripes_diagonal,13161,6609,3,56,150,0.6932522058486938,0.6928361654281616,0.5099999904632568,0.5274999737739563,-0.00041604042053222656
stripes_diagonal,37921,19009,3,96,600,0.6275976896286011,0.6195774674415588,0.6524999737739563,0.6499999761581421,-0.008020222187042236
stripes_diagonal,104161,52161,3,160,600,0.6402106285095215,0.5361576080322266,0.6974999904632568,0.7049999833106995,-0.10405302047729492
stripes_diagonal,25929,12993,5,56,600,0.6930509805679321,0.6931378245353699,0.5149999856948853,0.5024999976158142,8.684396743774414e-05
stripes_diagonal,75169,37633,5,96,600,0.6930185556411743,0.6104674339294434,0.5350000262260437,0.6575000286102295,-0.08255112171173096
stripes_diagonal,207201,103681,5,160,600,15.756882667541504,0.5340214967727661,0.4975000023841858,0.7024999856948853,-15.222861170768738
stripes_diagonal,38697,19377,7,56,600,0.6931359171867371,0.6931378245353699,0.5024999976158142,0.5024999976158142,1.9073486328125e-06
stripes_diagonal,112417,56257,7,96,600,7.4279375076293945,0.6931377649307251,0.4975000023841858,0.5024999976158142,-6.734799742698669
stripes_diagonal,310241,155201,7,160,600,8.832561492919922,0.6931377649307251,0.5024999976158142,0.5024999976158142,-8.139423727989197
swiss_roll_slice,13161,6609,3,56,150,0.5098727345466614,0.6064325571060181,0.875,0.6700000166893005,0.09655982255935669
swiss_roll_slice,37921,19009,3,96,600,0.0016013330314308405,0.00852646678686142,1.0,1.0,0.006925133755430579
swiss_roll_slice,104161,52161,3,160,600,0.003676337655633688,0.003855031216517091,0.9975000023841858,1.0,0.00017869356088340282
swiss_roll_slice,25929,12993,5,56,600,0.0012195107992738485,0.004548853728920221,1.0,1.0,0.003329342929646373
swiss_roll_slice,75169,37633,5,96,600,0.0013881075428798795,0.0021668551489710808,1.0,1.0,0.0007787476060912013
swiss_roll_slice,207201,103681,5,160,600,0.00862616766244173,0.0019082003273069859,0.9975000023841858,1.0,-0.006717967335134745
swiss_roll_slice,38697,19377,7,56,600,26.53740692138672,0.6931471228599548,0.7049999833106995,0.5,-25.844259798526764
swiss_roll_slice,112417,56257,7,96,600,0.06399822980165482,0.0024366583675146103,0.9750000238418579,1.0,-0.061561571434140205
swiss_roll_slice,310241,155201,7,160,600,11.214679718017578,0.0018100538291037083,0.5024999976158142,1.0,-11.212869664188474
xor_blobs,13161,6609,3,56,150,0.08085543662309647,0.6823943257331848,0.9781249761581421,1.0,0.6015388891100883
xor_blobs,37921,19009,3,96,600,0.03277534991502762,0.012632330879569054,0.996874988079071,1.0,-0.020143019035458565
xor_blobs,104161,52161,3,160,600,4.2790843091111697e-10,0.004431543406099081,1.0,1.0,0.00443154297819065
xor_blobs,25929,12993,5,56,600,0.02781185880303383,0.007079474627971649,0.996874988079071,0.996874988079071,-0.02073238417506218
xor_blobs,75169,37633,5,96,600,3.9148153518908657e-07,0.00486016646027565,1.0,0.996874988079071,0.004859774978740461
xor_blobs,207201,103681,5,160,600,0.5426703095436096,0.0025525738019496202,0.9937499761581421,0.996874988079071,-0.54011773574166
xor_blobs,38697,19377,7,56,600,0.05134066939353943,0.6931472420692444,0.9937499761581421,0.5,0.641806572675705
xor_blobs,112417,56257,7,96,600,4.688235282897949,0.6931473016738892,0.5,0.5,-3.99508798122406
xor_blobs,310241,155201,7,160,600,8.68798828125,0.6931472420692444,0.53125,0.5,-7.994841039180756
